"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.03.2025","132.345","132.005","132.588","131.776","14,19B","0,30%"
"20.03.2025","131.955","132.505","132.713","131.813","14,19B","-0,42%"
"19.03.2025","132.508","131.476","132.984","131.451","12,20B","0,79%"
"18.03.2025","131.475","130.832","131.834","130.722","10,99B","0,49%"
"17.03.2025","130.834","128.959","131.313","128.957","11,06B","1,46%"
"14.03.2025","128.957","125.647","129.194","125.647","14,57B","2,64%"
"13.03.2025","125.637","123.863","125.774","123.590","11,26B","1,43%"
"12.03.2025","123.864","123.507","124.048","122.969","8,25B","0,29%"
"11.03.2025","123.507","124.519","124.625","122.636","8,81B","-0,81%"
"10.03.2025","124.519","125.031","125.031","123.471","9,37B","-0,41%"
"07.03.2025","125.035","123.357","125.822","122.530","9,98B","1,36%"
"06.03.2025","123.358","123.048","124.112","122.681","10,06B","0,25%"
"05.03.2025","123.047","122.799","123.364","122.747","9,60B","0,20%"
"28.02.2025","122.799","124.798","124.916","122.659","24,87B","-1,60%"
"27.02.2025","124.799","124.768","125.497","124.352","12,55B","0,02%"
"26.02.2025","124.769","125.980","126.563","124.732","11,36B","-0,96%"
"25.02.2025","125.980","125.401","126.718","125.382","11,08B","0,46%"
"24.02.2025","125.401","127.129","127.275","125.162","10,15B","-1,36%"
"21.02.2025","127.128","127.601","127.654","126.483","11,09B","-0,37%"
"20.02.2025","127.601","127.309","127.871","127.063","10,64B","0,23%"
"19.02.2025","127.309","128.528","128.528","127.028","9,30B","-0,95%"
"18.02.2025","128.532","128.553","129.294","128.012","10,99B","-0,02%"
"17.02.2025","128.552","128.229","129.534","128.229","9,97B","0,26%"